Interview_key	HH_ID	area	ind_weight	hh_weight	select	selectedAgeM	selectedAgeF	age	tt_hhmembers	hh_2	hh2_oth	hh_3	hh_3oth	hh_4	hh_4oth	hh_5	hh_6	hh_6oth	hh_7	hh_7oth	hh_8	hh_8oth	hh_9	hh_10__1	hh_10__2	hh_10__3	hh_10__4	hh_10__5	hh_10__6	hh_10__7	hh_10__8	hh_10__9	hh_10__10	hh_10__11	hh_10__12	hh_10__13	hh_10__14	hh_10__15	hh_10__16	hh_10__17	hh_10__18	hh_10__19	hh_10__20	hh_11	hh_12	hh_12oth	hh_13__1	hh_13__2	hh_13__3	hh_13__4	hh_13__5	hh_13__6	hh_13__96	hh_13__98	hh_13__99	hh_13oth	hh_resultcode
00-68-04-67	1003038012701	1	84.60829796	36.83059799	2	 	45	45	    3.00	1	 	5	 	1	 	3	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-71-68-47	0210004003601	1	739.1792766	148.9049831	2	 	23	23	    2.00	1	 	4	 	1	 	1	2	 	2	 	2	 	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-72-11-59	1409112003701	1	411.0670551	70.93977931	2	 	16	16	    7.00	1	 	1	 	2	 	5	2	 	1	 	1	 	2	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-72-22-72	0201035013101	2	605.4174687	410.3217834	2	 	22	22	    3.00	1	 	1	 	2	 	2	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-72-78-53	1304011007201	1	73.15157582	29.31877312	2	 	25	25	    6.00	1	 	1	 	1	 	3	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	6	Bimonthly	0	0	0	0	0	1	0	0	0	 	1
00-78-44-90	0804054003101	2	264.0668285	50.37565383	2	 	28	28	    6.00	1	 	5	 	1	 	3	3	 	7	 	3	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	6	Path program every two months .	0	0	0	0	0	1	0	0	0	 	1
00-79-53-17	1302016006701	1	346.4996071	624.9386242	2	 	31	31	    3.00	1	 	1	 	1	 	2	2	 	8	 	2	 	2	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-80-39-55	0502056009601	2	119.018754	158.0249038	2	 	40	40	    3.00	1	 	5	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	2	 	0	0	0	0	0	1	0	0	0	 	1
00-81-39-60	1303058002801	2	269.3722511	323.9689853	2	 	33	33	    5.00	1	 	1	 	2	 	2	2	 	6	 	2	 	2	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-81-41-81	1103016003601	2	730.8112186	664.2842256	1	20	 	20	    3.00	1	 	1	 	1	 	4	2	 	96	rainwater (concrete tank)	2	 	2	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	6	Every 2 months	0	0	0	0	0	1	0	0	0	 	1
00-82-29-53	1301015001701	2	306.9713853	369.1887631	2	 	36	36	    6.00	1	 	1	 	2	 	3	2	 	7	 	2	 	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	6	every two months	0	0	0	0	0	1	0	0	0	 	1
00-83-76-97	0901001007601	1	82.58326476	149.3253454	2	 	45	45	    2.00	1	 	4	 	1	 	3	2	 	1	 	2	 	2	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-84-62-60	0206010005401	1	186.0975629	35.38499092	1	20	 	20	    3.00	4	 	1	 	1	 	1	2	 	2	 	1	 	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-86-01-82	0602058001901	2	408.676383	45.02472792	1	46	 	46	    5.00	1	 	1	 	2	 	2	2	 	6	 	2	 	2	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-86-31-00	0210085010901	1	162.2575961	135.3530934	1	27	 	27	    3.00	4	 	1	 	2	 	4	2	 	1	 	1	 	2	0	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-88-13-23	1303016010901	2	366.8931261	149.3982217	1	37	 	37	    1.00	1	 	1	 	2	 	1	6	 	2	 	3	 	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
00-88-78-72	0603041020901	2	510.2449626	176.2358433	1	21	 	21	    6.00	1	 	1	 	2	 	2	2	 	1	 	2	 	2	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	6	every other month	0	0	0	0	0	1	0	0	0	 	1
00-95-49-32	1002001006801	2	95.06727168	111.9481265	2	 	25	25	    4.00	1	 	5	 	1	 	1	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-16-80-83	0302047003101	2	368.8147982	505.0964177	2	 	49	49	    1.00	1	 	1	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-17-66-08	1202065003501	1	416.3993704	84.94460177	2	 	18	18	    4.00	1	 	1	 	2	 	2	2	 	8	 	2	 	2	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-20-22-24	0204076002101	1	472.5779655	379.6315809	2	 	40	40	    4.00	1	 	1	 	1	 	3	2	 	1	 	1	 	2	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-23-27-11	0207067002601	1	408.1357808	88.25531934	1	24	 	24	    5.00	4	 	1	 	1	 	3	2	 	3	 	1	 	2	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-24-75-86	1102073004501	1	203.2785821	54.95751827	2	 	22	22	    4.00	1	 	1	 	2	 	2	2	 	96	Rain water	2	 	2	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-27-93-42	1408072005501	1	185.1876912	183.4924566	2	 	29	29	    4.00	4	 	1	 	2	 	2	2	 	1	 	1	 	2	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-28-98-20	0205017007901	1	825.3184051	648.4378045	1	27	 	27	    4.00	2	 	1	 	1	 	3	2	 	1	 	1	 	2	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-31-80-04	0102079005301	1	252.9731121	41.26542057	1	21	 	21	    2.00	1	 	1	 	1	 	1	2	 	2	 	1	 	2	0	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-34-77-80	1001075007901	2	534.3848434	191.0201126	1	22	 	22	    6.00	1	 	4	 	1	 	3	3	 	1	 	2	 	2	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-40-59-73	0201103006801	1	235.9133623	43.29506232	1	27	 	27	    2.00	1	 	4	 	1	 	1	2	 	2	 	1	 	2	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-40-88-64	0209016014001	1	441.8381182	81.89409935	1	19	 	19	    5.00	1	 	1	 	1	 	2	2	 	1	 	2	 	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	Every two month	0	0	0	0	0	1	0	0	0	 	1
01-40-90-70	1306019015401	1	525.2287468	156.700628	1	47	 	47	    4.00	1	 	1	 	1	 	4	2	 	1	 	2	 	2	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-43-11-65	0804073008101	2	271.0215556	113.7580086	1	19	 	19	    3.00	1	 	5	 	1	 	2	2	 	2	 	3	 	2	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	6	every two months path programme	0	0	0	0	0	1	0	0	0	 	1
01-43-69-61	0601084025501	2	718.2064245	201.4123924	1	34	 	34	    4.00	1	 	1	 	2	 	5	2	 	8	 	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-46-08-59	0210079002001	1	287.015472	76.85514021	2	 	37	37	    7.00	4	 	1	 	2	 	5	2	 	1	 	1	 	2	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-46-28-39	0402044004601	2	381.5967924	65.92582104	2	 	15	15	    3.00	1	 	1	 	1	 	2	2	 	4	 	3	 	2	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	6	bi monthly	0	0	0	0	0	1	0	0	0	 	1
01-46-92-00	1405028004801	1	142.5241978	141.2195109	2	 	43	43	    5.00	1	 	1	 	2	 	4	2	 	8	 	2	 	2	0	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-50-94-03	0210064003501	1	212.0893277	170.3757108	2	 	47	47	    4.00	1	 	1	 	1	 	3	2	 	3	 	2	 	2	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-57-35-50	0502041005401	2	157.3276263	157.9685553	2	 	15	15	    3.00	1	 	1	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-61-19-96	0802018003301	2	133.350074	39.07431049	2	 	41	41	    3.00	1	 	1	 	96	shingle	2	2	 	8	 	1	 	2	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-61-35-70	0102033007801	1	382.3931529	302.2914255	2	 	28	28	    7.00	1	 	1	 	1	 	3	1	 	2	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-61-45-36	1002040002001	2	310.1660296	110.8713143	1	20	 	20	    1.00	1	 	5	 	1	 	2	2	 	1	 	2	 	2	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-61-96-13	0208077002201	1	223.3313163	48.79284801	1	31	 	31	    1.00	1	 	5	 	1	 	1	2	 	2	 	1	 	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-62-53-80	0804054001901	2	448.3183079	50.37565383	2	 	24	24	    3.00	1	 	5	 	1	 	3	2	 	7	 	2	 	2	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-65-09-87	0503073020901	2	155.544774	206.5216374	2	 	29	29	    7.00	1	 	5	 	1	 	2	2	 	2	 	3	 	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	2months	0	0	0	0	0	1	0	0	0	 	1
01-66-00-60	0102057002601	1	268.7962956	131.0663482	1	25	 	25	    3.00	1	 	6	 	1	 	1	2	 	2	 	1	 	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-71-56-58	1305050000401	2	283.8367782	218.0615081	2	 	19	19	    4.00	1	 	1	 	1	 	2	4	 	4	 	2	 	2	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-71-63-54	0206043008401	1	402.2512552	323.1366908	2	 	33	33	    2.00	1	 	1	 	1	 	2	2	 	8	 	2	 	1	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-79-44-70	1302033011801	1	761.2657898	108.0213547	1	34	 	34	    2.00	1	 	1	 	1	 	2	2	 	8	 	2	 	2	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-80-30-20	0804009017801	2	334.8708375	240.8194298	2	 	20	20	    5.00	1	 	6	 	1	 	1	2	 	5	 	2	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	Respondent received Path program every two months.	0	0	0	0	0	1	0	0	0	 	1
01-82-84-97	1002035004101	2	81.16623611	95.57871919	2	 	43	43	    2.00	1	 	5	 	1	 	2	2	 	2	 	2	 	9	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-87-83-84	0302047002601	2	368.8147982	505.0964177	2	 	49	49	    2.00	1	 	1	 	1	 	3	2	 	1	 	2	 	2	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	 	0	0	0	0	1	1	0	0	0	 	1
01-88-41-50	0210064012401	1	246.6806193	170.3757108	2	 	17	17	    7.00	1	 	1	 	1	 	4	2	 	8	 	2	 	2	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	3	 	 	 	 	 	 	 	 	 	 	 	 	1
01-93-34-97	0205067005801	1	380.804609	72.1959221	1	27	 	27	    6.00	1	 	1	 	1	 	3	2	 	1	 	2	 	2	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	3	 	 	 	 	 	 	 	 	 	 	 	 	1
